modality,lambda,seed,accuracy,maoe,precision_macro,recall_macro,f1_macro,train_time_min,n_params,epochs_run
multi,0.0,42,0.9146296296296297,0.12333333333333334,0.9115561914233707,0.9044285714285714,0.9064620131667586,2.927391231060028,2202695,10
multi,0.0,123,0.922037037037037,0.115,0.9145387864906674,0.9190901875901876,0.9165217721981268,2.306530940532684,2202695,10
multi,0.0,2024,0.9196296296296296,0.11425925925925925,0.9093791186891516,0.9210021645021645,0.9147779957847076,2.1170937418937683,2202695,10
multi,0.0,7,0.9233333333333333,0.11277777777777778,0.9159872149627467,0.9198340548340548,0.9176435661206573,2.2829096992810567,2202695,10
multi,0.0,99,0.899074074074074,0.14888888888888888,0.8939228480753639,0.892988455988456,0.8924748601709059,1.5606754660606383,2202695,7
multi,1.0,42,0.9144444444444444,0.12351851851851851,0.907762600100298,0.904070707070707,0.9056494054335723,1.843764837582906,2202695,8
multi,1.0,123,0.9251851851851852,0.11037037037037037,0.9204481096618702,0.9190101010101009,0.9194853024215776,2.1958292524019876,2202695,10
multi,1.0,2024,0.9194444444444444,0.11407407407407408,0.9128933045913946,0.9144805194805194,0.9134453336836447,2.1814625104268393,2202695,10
multi,1.0,7,0.9222222222222223,0.1111111111111111,0.9227888448381188,0.9144249639249641,0.9181651832979912,2.1676130612691242,2202695,10
multi,1.0,99,0.9018518518518519,0.14148148148148149,0.8991679932160324,0.8912950937950939,0.8942225523147299,1.5705361207326254,2202695,7
