modality,lambda,seed,accuracy,maoe,precision_macro,recall_macro,f1_macro,train_time_min,n_params,epochs_run
multi,0.0,42,0.922037037037037,0.11370370370370371,0.919794058098603,0.9130685425685426,0.9158415139225028,2.2935693979263307,2202695,10
multi,0.0,123,0.9209259259259259,0.115,0.9145983475003581,0.914579365079365,0.9138710422103504,2.2925768454869586,2202695,10
multi,0.0,2024,0.9148148148148149,0.12277777777777778,0.9049910367651156,0.9158102453102454,0.9098480886377597,2.16447225411733,2202695,10
multi,0.0,7,0.9172222222222223,0.11814814814814815,0.9161869050882159,0.9144314574314575,0.9150804816035133,2.155657430489858,2202695,10
multi,0.0,99,0.9153703703703704,0.12481481481481481,0.9052177919629575,0.9178297258297257,0.9105395504784043,2.300962809721629,2202695,10
multi,0.5,42,0.9159259259259259,0.1175925925925926,0.9099231719907739,0.91689898989899,0.9130580201540759,1.9601096431414287,2202695,9
multi,0.5,123,0.9231481481481482,0.11148148148148149,0.9161491395228486,0.9203614718614718,0.9180701594818829,2.207459823290507,2202695,10
multi,0.5,2024,0.9209259259259259,0.11666666666666667,0.9114468511141831,0.9192337662337664,0.9150444848239753,2.233700084686279,2202695,10
multi,0.5,7,0.9218518518518518,0.11481481481481481,0.9192253303511656,0.9172489177489177,0.9178442345230186,2.1832851648330687,2202695,10
multi,0.5,99,0.9162962962962963,0.11981481481481482,0.9147897768248433,0.909966810966811,0.910997974646356,2.2334615111351015,2202695,10
multi,1.0,42,0.9114814814814814,0.12351851851851851,0.9113115248444859,0.8961688311688312,0.9028454011668627,1.7882840951283774,2202695,8
multi,1.0,123,0.9131481481481482,0.12259259259259259,0.9132808708163107,0.8953780663780664,0.9033350017061625,1.9780641158421834,2202695,9
multi,1.0,2024,0.9175925925925926,0.1174074074074074,0.9090545884191995,0.9158773448773448,0.9119264950244095,2.169567926724752,2202695,10
multi,1.0,7,0.9224074074074075,0.10814814814814815,0.9193992380398743,0.9184877344877345,0.9188214738244586,2.304215661684672,2202695,10
multi,1.0,99,0.9161111111111111,0.12240740740740741,0.9098174255227416,0.9090497835497836,0.9091495155868256,2.3298087040583293,2202695,10
multi,2.0,42,0.9225925925925926,0.11351851851851852,0.92045439143027,0.9147077922077923,0.9171219205829171,2.2335595647493998,2202695,10
multi,2.0,123,0.9309259259259259,0.09981481481481481,0.927447906827145,0.9293015873015873,0.9282400071351518,2.270312186082204,2202695,10
multi,2.0,2024,0.919074074074074,0.11351851851851852,0.9174453804596634,0.9117734487734488,0.9143514672914189,2.2405988454818724,2202695,10
multi,2.0,7,0.9187037037037037,0.11388888888888889,0.9198703549370846,0.9086334776334777,0.9134163275054423,2.210052263736725,2202695,10
multi,2.0,99,0.9164814814814815,0.12111111111111111,0.9050616676783222,0.9163520923520923,0.9096058536681542,2.22407595316569,2202695,10
multi,5.0,42,0.9261111111111111,0.10722222222222222,0.923065673023108,0.9178513708513709,0.920023723001908,2.2763201514879863,2202695,10
multi,5.0,123,0.9281481481481482,0.10592592592592592,0.9193332355107412,0.9277128427128428,0.9232125116220239,2.2022865653038024,2202695,10
multi,5.0,2024,0.9166666666666666,0.1162962962962963,0.9122893979111246,0.9087561327561328,0.9101015784341956,2.1954229633013407,2202695,10
multi,5.0,7,0.9185185185185185,0.11814814814814815,0.9110014903133968,0.9212965367965368,0.9149626979459041,2.1546743353207907,2202695,10
multi,5.0,99,0.922962962962963,0.11166666666666666,0.9209827002270329,0.9184992784992785,0.9193539122560699,2.1370474020640056,2202695,10
