modality,lambda,seed,accuracy,maoe,precision_macro,recall_macro,f1_macro,train_time_min,n_params,epochs_run
image,1.0,42,0.8629629629629629,0.3201851851851852,0.8565868194174943,0.8534336219336219,0.8528686251121751,2.074605580170949,2193351,10
image,1.0,123,0.8581481481481481,0.3257407407407407,0.8527540944847157,0.8547251082251082,0.8523076274082289,2.2460107763608295,2193351,10
image,1.0,2024,0.8542592592592593,0.3472222222222222,0.8461848555575097,0.8494408369408369,0.8464287333154183,2.1689382990201316,2193351,10
image,1.0,7,0.86,0.30962962962962964,0.8616800296660564,0.8440656565656566,0.8519511460833061,2.2461302479108176,2193351,10
image,1.0,99,0.8611111111111112,0.337037037037037,0.8495079936055913,0.8490808080808081,0.8479737661672392,2.131767717997233,2193351,10
demo,1.0,42,0.5724074074074074,0.4968518518518519,0.4567017285472773,0.47804329004329,0.46196757836747515,1.8612536032994589,9351,10
demo,1.0,123,0.5848148148148148,0.4787037037037037,0.5184441285318707,0.49977633477633476,0.48796733680881277,1.8467657844225565,9351,10
demo,1.0,2024,0.5861111111111111,0.4772222222222222,0.47040912184741634,0.49514141414141416,0.4792864127730048,1.8678460399309793,9351,10
demo,1.0,7,0.5879629629629629,0.4774074074074074,0.4722295329464191,0.4972943722943723,0.4802857773782733,1.7970040440559387,9351,10
demo,1.0,99,0.5822222222222222,0.4840740740740741,0.4677877273709206,0.49750360750360756,0.48036383892236156,1.8213458776473999,9351,10
multi,1.0,42,0.9144444444444444,0.12351851851851851,0.907762600100298,0.904070707070707,0.9056494054335723,1.843764837582906,2202695,8
multi,1.0,123,0.9251851851851852,0.11037037037037037,0.9204481096618702,0.9190101010101009,0.9194853024215776,2.1958292524019876,2202695,10
multi,1.0,2024,0.9194444444444444,0.11407407407407408,0.9128933045913946,0.9144805194805194,0.9134453336836447,2.1814625104268393,2202695,10
multi,1.0,7,0.9222222222222223,0.1111111111111111,0.9227888448381188,0.9144249639249641,0.9181651832979912,2.1676130612691242,2202695,10
multi,1.0,99,0.9018518518518519,0.14148148148148149,0.8991679932160324,0.8912950937950939,0.8942225523147299,1.5705361207326254,2202695,7
